제목,링크
"3인 협동의 맛, 엘든 링 신작 내년 2월 테스트 한다",https://news.google.com/read/CBMiWEFVX3lxTE05ZHA5V1JLVnlEY2JzU1JEMGJhNEEtZXNhVE0wdWpjaXU5LUVoSDI2UllMYUNpQUdQTnpvOHpDYXJGYmluVzByTnFVTXBqLUlmTW5ReDBiNTLSAVtBVV95cUxPMEJZMGg0Q1BhdFBPSjJuM09TSy13V0NtVFFFQTFoX2Z6MTZwTmtEOXpheC02TmdoRUxLNTlCVWJnS283ZmJQNXVpeHNkUjJQMUdRMWNDclp4X1lZ?hl=ko&gl=KR&ceid=KR%3Ako
"엘든링 IP 신작 '엘든링 나이트레인' 공개, 협동 액션 서바이벌 장르로 2025년 출시",https://news.google.com/read/CBMic0FVX3lxTE5VTHMxMmlLbkFWcjN2am9vMmtPdWNnRVRlb2g4U05YNUplWmNkZ3VmRnY5aFEzTlRMaWZicllRR2tIamx6TFlJdURxSWluazNsMTlncUM2dWJZbVlBYXhLSjh4RzFidmJXZkdWdlJybkRXMm8?hl=ko&gl=KR&ceid=KR%3Ako
"프롬 소프트웨어, '엘든 링: 나이트레인' 발표…2025년 출시",https://news.google.com/read/CBMiT0FVX3lxTE10OU90WUpLSFZiQWpxQTdKNGRDVmZOYS1UQ052OHh3cFBadWdEb2F3ZzlNU3RMYVltWTZ1MWF4WFVrUDVFWnVmR3E0SWIzOVk?hl=ko&gl=KR&ceid=KR%3Ako
"엘든링: 나이트레인, 2025년 출시 예정...핵심 내용 일부 공개",https://news.google.com/read/CBMiakFVX3lxTFBlYWtxLVZFVE5lNTJYT2xDeW5jdURWN0lXS1ZWYkZzeDRtSXBteHRhYnVtdmZVQm5CZE8xTDBBWERnUTBIT1JCNFhBbk16ZGxoN0xnalhLUVZHWEZWNERzUUNGS3pyTFRIYWfSAW5BVV95cUxNVTk1RjJFOGRCVXEyVFYwMm13UENKWTZGLWU0bEt6Z2xDRjRFUEFrenJHaDM3ZldDQW43LTNrNTlBQmdDZ2VFSXdxNlAxdEdtcV96eEJVeDdMelZFeDQ0Ukp2WHBVOEF2eDNRenR3UQ?hl=ko&gl=KR&ceid=KR%3Ako
"보름달→목성 접근 ""별똥별 우주쇼"" 유성구 극대시간",https://news.google.com/read/CBMibkFVX3lxTE9aNUY2Vk14LUltU2t5X3VLWUhwUjJXMzhfeGlfV08yRWVRSk96RHlnZFQ2V3RYMFVNMFJlUS1hUFQ1akpkTjBIVG93aUdkUEtVdk5lZ01OdTAwYlJzWjlYSXUxaFhzTUxydGNTUUFB?hl=ko&gl=KR&ceid=KR%3Ako
[오늘의 천체사진] 우주 쇼 ‘쌍둥이자리 유성우’ 뿌리는 3200파에톤 소행성,https://news.google.com/read/CBMigwFBVV95cUxNNXlmMGw5X1oyMGxhWS1GeWJVZlNBM1FZNEFFWjBWWVNHLWRfLXVYcXF2aklZZWtOa1hDeHpXZmdVemxaTFh4T1dWX0RVRC1kU19uTFB6TlEyUzZ2aUszdzBwZG5GZU05a3Znak9yT1NIMXBRb0dyODU5amtzUDcyeHRrb9IBlwFBVV95cUxNVXhycUVPZmhxNGtFOFNwb3p3c2htVHRUQ25rcmZlT2FxVkJuTjlZS3R1ekU4RGwtNW84R1hWaGpyWWVEZk9YdnNlU3ByU21HeHJEU0FRR2paYlhBdGo4dzFhdU9YSFBBcDlib043bUpWUzVPNTBPM0xtZGFXUWxhdElneU9qdW9Td0J5NklFSmZ6NlhCQVRz?hl=ko&gl=KR&ceid=KR%3Ako
올 겨울 최대 우주쇼 “별똥비 내린다”,https://news.google.com/read/CBMibEFVX3lxTE9KRGFmaURnRDV4cGRCRzE3NWhZNmtmcENQRmE0SW83QV8zbWZxSkR3LW13eUxCVy1JOWdtcmV6Z3lKeUtETDI2ZDlndHk4VS1aS3VSVG9HOU5nLVpqUmZjRHV0LUMtRjIzZkkzVA?hl=ko&gl=KR&ceid=KR%3Ako
오늘 베트남은 올해 최대의 유성우를 맞이합니다,https://news.google.com/read/CBMigwFBVV95cUxPanhTaW9LSDRuWWZCWEJHbnYzc1lPaUQ1Q2pYOXRMUllLRk1EcHdWLTF1M2J6Qm83d0twazd3Q0c4V0xuRXg1OGVmd0VWeS1Hc2NXRzFDUWNSX2s5TTNPZVdrUEhzNmJ4SHQ3VmNucDZLNC1haW8wUVlubVdJaHhROENRNA?hl=ko&gl=KR&ceid=KR%3Ako
"애즈락, 인텔 Arc B 시리즈 B580과 B570 그래픽카드 3종 출시",https://news.google.com/read/CBMia0FVX3lxTE1QZWJZMzl5SThnNmVqMkx4QllXa01NYjlMMGM3ajBSMGFjTW9xTnFRMUtFeW9rWi1TT29ON3FFdm1JbEtEMTkwQWFBbGxUUGVTaGlETlFIM3hnUDlfVHRMZ1BmbEtlS25Qa1lZ?hl=ko&gl=KR&ceid=KR%3Ako
"[기기검증] 인텔 아크 2세대 'B580', 얼마나 빨라졌나",https://news.google.com/read/CBMiVkFVX3lxTFBISEx1WWctVEp5M2gwaG91ZWxxdU5IeHVKV1htd2Zyek5MaThadHNMMVFZaDhRdUtrelR0VWRTZm9acWYtbTZULUF4VGhfR2Y5b0xpMWFR?hl=ko&gl=KR&ceid=KR%3Ako
